,Unnamed: 0.1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2015 - 2016 (%/year),2000 - 2016 (%/year)
3,Belgium,59.0,62.0,64.0,65.0,68.0,70.0,71.0,73.0,76.0,76.0,79.0,80.0,80.0,82.0,84.0,84.0,86.0,86.0,86.0,80.0,86.0,84.0,84.0,83.0,82.0,83.0,83.0,0.2,0.3
9,France,323.0,347.0,356.0,356.0,363.0,368.0,384.0,382.0,393.0,401.0,410.0,421.0,419.0,437.0,449.0,451.0,446.0,448.0,461.0,448.0,472.0,443.0,454.0,457.0,432.0,440.0,448.0,1.7,0.5
10,Germany,481.0,481.0,476.0,467.0,465.0,473.0,480.0,483.0,487.0,491.0,501.0,513.0,526.0,531.0,538.0,539.0,544.0,545.0,543.0,514.0,547.0,541.0,540.0,537.0,526.0,533.0,533.0,0.0,0.4
13,Italy,219.0,224.0,228.0,229.0,237.0,243.0,246.0,254.0,261.0,267.0,279.0,285.0,291.0,300.0,304.0,310.0,318.0,319.0,319.0,300.0,310.0,314.0,307.0,297.0,291.0,299.0,293.0,-2.1,0.3
19,Netherlands,76.0,78.0,80.0,81.0,84.0,84.0,88.0,91.0,94.0,96.0,99.0,101.0,102.0,104.0,107.0,109.0,110.0,112.0,113.0,109.0,113.0,113.0,109.0,110.0,107.0,108.0,107.0,-0.7,0.5
23,Poland,109.0,103.0,98.0,99.0,100.0,104.0,107.0,109.0,109.0,107.0,109.0,109.0,108.0,111.0,115.0,116.0,121.0,125.0,127.0,122.0,129.0,132.0,133.0,134.0,136.0,138.0,141.0,2.1,1.7
24,Portugal,24.0,25.0,26.0,26.0,27.0,29.0,31.0,32.0,34.0,37.0,39.0,41.0,42.0,44.0,45.0,47.0,49.0,50.0,49.0,49.0,51.0,49.0,47.0,46.0,46.0,46.0,47.0,1.4,1.2
25,Romania,60.0,51.0,47.0,43.0,41.0,43.0,46.0,47.0,44.0,39.0,41.0,42.0,42.0,44.0,45.0,47.0,47.0,47.0,48.0,43.0,46.0,47.0,47.0,45.0,46.0,49.0,51.0,4.2,1.4
28,Spain,129.0,132.0,134.0,134.0,140.0,146.0,152.0,163.0,170.0,182.0,195.0,207.0,212.0,224.0,237.0,248.0,254.0,258.0,261.0,247.0,250.0,249.0,246.0,235.0,233.0,238.0,240.0,0.8,1.3
29,Sweden,131.0,132.0,130.0,131.0,130.0,132.0,132.0,132.0,133.0,133.0,135.0,139.0,137.0,135.0,135.0,135.0,135.0,136.0,133.0,128.0,137.0,129.0,132.0,129.0,127.0,127.0,131.0,3.2,-0.2
34,United Kingdom,284.0,291.0,291.0,296.0,292.0,304.0,320.0,321.0,325.0,332.0,340.0,343.0,344.0,347.0,348.0,357.0,354.0,351.0,350.0,330.0,337.0,326.0,325.0,325.0,311.0,311.0,307.0,-1.3,-0.7
22,Norway,98.0,100.0,100.0,102.0,103.0,105.0,104.0,105.0,110.0,110.0,111.0,114.0,110.0,105.0,110.0,114.0,111.0,115.0,117.0,113.0,121.0,114.0,119.0,120.0,116.0,119.0,121.0,2.0,0.5
31,Turkey,47.0,49.0,54.0,59.0,61.0,67.0,74.0,82.0,88.0,91.0,98.0,97.0,103.0,112.0,121.0,130.0,143.0,155.0,162.0,157.0,172.0,186.0,195.0,198.0,207.0,217.0,229.0,5.6,5.4
