Intellectual property right :Patent

Indicator :5 - Patent grants by technology

Source: WIPO statistics database. Last updated: May 2018

,,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Office,Office (Code),Origin,Technology
"Africa","R1","Total","24 - Environmental technology",97,101,115,124,87,90,134,110,107,108,63,78,96,126,101,72,102,83,135,92,141,91,174,143,130,33,14,
"African Intellectual Property Organization","OA","Total","24 - Environmental technology",2,3,1,6,3,1,4,1,,,,5,5,10,,4,16,1,,,,,,,,,,
"African Regional Intellectual Property Organization","AP","Total","24 - Environmental technology",1,2,,,2,2,3,,1,1,,5,3,2,1,2,3,3,1,3,3,3,6,11,10,11,10,
"Argentina","AR","Total","24 - Environmental technology",6,6,5,49,25,18,,,,,,,,,,,,,,,,,,,,,,
"Asia","R2","Total","24 - Environmental technology",1003,1131,1308,1456,1834,1883,1521,1815,2219,3185,2644,2532,3073,3766,4274,5155,5937,6521,5834,6207,6753,8799,10474,11179,10897,12064,13980,
"Australia","AU","Total","24 - Environmental technology",159,189,183,164,170,167,136,136,195,178,171,201,165,134,145,101,86,99,149,165,251,293,284,258,285,362,409,
"Austria","AT","Total","24 - Environmental technology",63,84,51,62,49,45,62,43,39,33,37,32,45,33,24,24,27,21,46,29,31,20,26,29,22,19,23,
"Bosnia and Herzegovina","BA","Total","24 - Environmental technology",,,,,,,,,,4,,,,,,,,,,,,,,,,,,
"Brazil","BR","Total","24 - Environmental technology",,,,,,,,,,,3,,3,1,5,3,4,1,10,44,65,72,55,50,39,49,66,
"Bulgaria","BG","Total","24 - Environmental technology",36,25,25,22,3,3,11,10,6,6,11,7,12,7,5,7,6,8,3,3,7,3,2,4,3,2,1,
"Canada","CA","Total","24 - Environmental technology",187,186,297,245,183,130,91,85,141,245,206,174,205,145,195,254,212,279,271,302,280,285,335,394,354,373,458,
"China","CN","Total","24 - Environmental technology",,,,49,60,42,69,52,60,76,172,220,359,606,833,881,1065,1169,1369,1962,1915,3409,4739,5202,5333,7653,9144,
"China, Hong Kong SAR","HK","Total","24 - Environmental technology",6,5,4,9,8,9,8,4,1,,,,,,,,,,,,,,,,,,,
"Croatia","HR","Total","24 - Environmental technology",,,,,,1,3,2,5,9,11,5,6,4,7,9,3,2,6,5,5,4,3,7,5,1,1,
"Cuba","CU","Total","24 - Environmental technology",,,,,,1,,,,1,,,2,,,,,1,1,1,1,1,1,3,1,,2,
"Czechoslovakia","CS","Total","24 - Environmental technology",177,103,66,34,27,20,20,28,19,10,3,2,1,,,,,,,,,,,,,,,
"Czech Republic","CZ","Total","24 - Environmental technology",,,,,1,18,13,28,30,35,35,42,52,48,35,47,26,22,25,28,8,15,20,14,24,24,33,
"Denmark","DK","Total","24 - Environmental technology",42,31,57,49,32,33,12,12,11,11,7,3,7,9,12,9,3,3,5,4,3,2,3,8,9,6,8,
"Egypt","EG","Total","24 - Environmental technology",3,4,2,5,10,7,3,4,2,6,9,8,17,13,7,1,2,7,9,7,6,16,20,20,19,5,,
"Estonia","EE","Total","24 - Environmental technology",,,,,,,1,,2,2,1,4,6,4,3,,4,1,3,,7,3,2,1,1,2,4,
"Eurasian Patent Organization","EA","Total","24 - Environmental technology",,,,,,,,,1,7,8,16,18,14,12,22,17,29,33,32,35,23,40,33,29,28,81,
"Europe","R3","Total","24 - Environmental technology",3106,3198,3137,2559,2462,2673,2425,2779,2534,2191,1773,1886,2230,2415,2401,2222,2393,2249,2273,2092,2345,2381,2656,2639,2540,2755,3098,
"European Patent Office","EP","Total","24 - Environmental technology",379,388,539,575,624,548,558,544,553,511,351,526,638,781,770,693,801,644,610,567,769,767,892,774,745,917,1311,
"Finland","FI","Total","24 - Environmental technology",41,38,55,47,45,33,61,39,44,40,24,28,28,33,41,22,35,18,23,14,22,22,23,28,34,28,32,
"France","FR","Total","24 - Environmental technology",182,188,164,123,231,231,196,234,215,201,183,193,189,174,184,180,282,263,230,200,208,260,257,243,265,311,217,
"Georgia","GE","Total","24 - Environmental technology",,,,,,,,,,,4,4,6,4,3,5,4,9,2,,2,2,2,2,1,6,3,
"German Democratic Republic","DD","Total","24 - Environmental technology",216,297,,,,,,,,,,,,,,,,,,,,,,,,,,
"Germany","DE","Total","24 - Environmental technology",245,239,235,254,269,214,239,227,230,200,183,187,209,181,252,273,276,301,279,201,182,160,261,293,262,256,291,
"Greece","GR","Total","24 - Environmental technology",3,1,9,16,5,3,7,7,3,6,4,3,14,9,6,8,7,9,14,16,11,9,8,7,14,9,6,
"High-income","W1","Total","24 - Environmental technology",4281,4372,4863,4916,5360,5353,4859,5226,6135,6911,5838,5935,6432,6804,6957,7583,8358,8696,7928,7648,9053,9519,10360,10850,10471,9545,10496,
"Hungary","HU","Total","24 - Environmental technology",97,127,103,81,72,143,61,83,26,14,4,16,18,23,10,19,9,8,10,7,9,9,10,11,6,12,6,
"Iceland","IS","Total","24 - Environmental technology",,1,1,,1,1,,1,1,,,,,1,,,4,2,,,,,,,,1,1,
"Indonesia","ID","Total","24 - Environmental technology",,,,,,,6,,,,,,,,,,,,,,,,,,,,,
"Ireland","IE","Total","24 - Environmental technology",8,12,3,11,30,28,17,16,11,3,,,,,,,,,,,,,1,8,6,2,4,
"Italy","IT","Total","24 - Environmental technology",143,61,45,55,86,108,139,152,178,124,57,79,83,102,1,,,,,,,6,40,41,,,,
"Japan","JP","Total","24 - Environmental technology",898,1025,1165,1254,1618,1541,1133,1515,1733,2056,1937,1880,2193,2219,2245,2371,2781,3008,2779,2922,3255,3539,3510,3282,3138,2577,2821,
"Jordan","JO","Total","24 - Environmental technology",,1,,,1,1,,1,,4,1,,,2,,1,3,,,,,,,,,,,
"Latin America and the Caribbean","R4","Total","24 - Environmental technology",27,13,66,163,69,19,,,,2,5,1,8,4,7,7,6,6,15,50,70,74,58,53,42,50,185,
"Latvia","LV","Total","24 - Environmental technology",,,,3,4,7,18,9,3,4,5,4,5,6,2,2,,,1,4,3,8,4,1,5,2,2,
"Lithuania","LT","Total","24 - Environmental technology",,,,3,11,12,8,6,7,6,3,7,4,13,5,6,3,3,4,5,3,4,3,5,4,6,4,
"Lower middle-income","W3","Total","24 - Environmental technology",18,9,12,12,13,17,20,17,14,13,21,31,56,94,172,47,54,101,99,100,108,161,128,138,113,76,64,
"Low-income","W4","Total","24 - Environmental technology",5,7,5,7,6,3,7,1,1,1,,10,8,12,1,6,19,4,1,3,3,3,6,11,10,11,10,
"Luxembourg","LU","Total","24 - Environmental technology",2,2,7,5,4,5,10,8,3,3,3,5,2,5,1,,1,1,1,1,1,1,,3,3,2,6,
"Malawi","MW","Total","24 - Environmental technology",,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
"Malaysia","MY","Total","24 - Environmental technology",,,,,,,,,,,,,,16,35,36,68,74,23,33,28,30,37,48,46,55,49,
"Malta","MT","Total","24 - Environmental technology",1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mexico","MX","Total","24 - Environmental technology",21,7,61,114,44,,,,,1,2,1,3,3,2,4,2,2,4,5,4,1,2,,2,1,117,
"Monaco","MC","Total","24 - Environmental technology",2,,,2,1,1,,1,3,,,1,1,,,,,,1,,,,,,,,,
"Morocco","MA","Total","24 - Environmental technology",4,1,2,2,3,10,8,2,3,5,5,7,7,13,14,5,8,5,,1,12,24,35,22,26,,4,
"Netherlands","NL","Total","24 - Environmental technology",21,15,14,16,15,10,33,74,85,70,68,52,64,60,49,36,59,61,46,44,54,57,63,78,44,34,49,
