Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,label
Algeria,57,60,62,61,60,61,59,61,64,69,70,72,77,80,82,88,89,93,96,104,106,111,121,124,133,139,142,1.0
Argentina,104,108,114,111,118,121,127,131,134,137,141,130,125,135,149,152,162,168,179,173,183,186,191,189,198,201,205,1.0
Australia,260,262,266,270,272,279,296,308,326,332,337,339,353,354,364,374,382,393,392,398,392,391,393,385,378,383,358,1.0
Belgium,101,105,105,104,109,110,115,112,114,111,111,111,106,111,109,107,106,102,104,98,106,96,94,95,89,93,92,1.0
Brazil,191,197,202,211,219,235,254,269,278,287,293,299,299,294,309,315,319,329,347,327,369,391,419,451,475,450,420,4.0
Canada,428,419,431,431,448,457,473,490,495,506,527,519,521,543,537,556,547,568,567,538,546,557,563,574,584,570,564,5.0
Chile,30,29,30,32,35,38,44,51,52,56,53,50,52,52,57,58,62,67,70,68,73,80,81,85,81,84,88,1.0
China,2201,2310,2410,2577,2720,2934,2957,2994,3026,2951,3131,3275,3545,4171,4816,5399,5994,6485,6587,6972,7594,8271,8450,8776,8826,8791,8796,3.0
Colombia,48,49,51,54,52,54,54,59,61,53,55,55,53,54,53,56,58,60,61,65,66,66,66,71,73,74,65,5.0
France,347,374,363,346,339,349,364,353,380,373,374,383,373,379,379,377,365,358,356,338,348,320,322,326,292,299,306,1.0
Germany,957,925,889,881,862,860,888,860,852,820,821,839,825,827,809,790,803,775,779,727,766,739,754,766,734,737,744,5.0
India,513,552,582,613,653,712,746,778,794,860,898,907,940,962,1016,1067,1134,1226,1318,1484,1574,1651,1768,1815,1980,2011,2088,5.0
Indonesia,151,163,172,185,201,220,236,256,258,280,281,298,305,331,339,344,359,379,369,387,410,409,417,430,466,450,470,1.0
Italy,386,393,393,385,380,402,399,403,412,420,424,422,429,443,454,454,451,444,431,388,394,383,365,337,320,331,332,1.0
Japan,974,986,1005,999,1055,1073,1085,1084,1064,1096,1110,1101,1140,1147,1142,1141,1117,1167,1094,1034,1071,1126,1162,1181,1136,1105,1096,5.0
Kazakhstan,238,240,246,210,191,168,146,124,126,111,122,115,127,146,153,162,188,196,232,207,228,243,244,261,239,229,228,1.0
Kuwait,24,7,22,31,37,37,36,37,44,47,50,54,56,57,61,70,70,72,77,84,83,83,95,91,88,95,96,1.0
Malaysia,57,67,75,75,81,86,97,113,102,113,123,130,137,149,161,175,175,196,201,187,204,208,212,233,243,243,260,1.0
Mexico,279,295,298,307,329,312,315,331,355,362,370,363,372,393,399,428,435,440,442,446,441,460,471,462,451,446,435,1.0
Netherlands,157,165,163,166,168,182,192,187,189,183,185,191,190,193,196,192,189,189,187,182,194,181,179,178,170,173,174,1.0
New Zealand,26,27,29,28,29,29,29,31,29,29,30,32,32,33,32,33,33,32,33,30,30,30,32,31,32,32,33,1.0
Nigeria,31,36,43,39,33,36,40,43,38,41,44,51,52,56,57,61,54,50,55,46,57,63,65,65,63,64,63,1.0
Norway,29,27,30,32,33,33,34,35,37,38,34,35,34,37,37,36,38,38,37,38,40,38,37,37,37,38,38,2.0
Poland,358,355,349,344,336,335,359,339,312,304,294,292,286,293,296,303,313,311,309,297,316,311,305,301,287,288,292,1.0
Portugal,38,41,45,44,45,49,47,49,54,60,60,59,63,59,60,63,58,56,55,54,49,48,47,45,44,49,49,1.0
Romania,162,134,124,117,113,119,121,111,96,83,86,91,94,96,92,90,95,92,90,77,74,81,79,69,68,70,69,1.0
Saudi Arabia,152,174,203,206,221,222,236,222,236,242,251,255,273,284,302,319,337,354,386,402,443,459,490,497,533,558,555,1.0
South Africa,303,297,290,291,297,320,330,343,351,334,342,352,363,382,411,413,412,433,465,437,442,425,435,452,468,449,454,1.0
Spain,208,214,225,208,220,232,228,243,251,272,288,289,305,310,325,339,332,345,316,281,268,270,266,239,238,256,250,1.0
Sweden,48,46,42,44,49,48,52,47,47,45,42,45,53,55,54,51,52,49,47,43,48,43,42,40,40,39,42,1.0
Thailand,81,90,98,111,126,142,159,163,151,158,157,165,179,190,206,212,212,220,225,219,235,235,252,268,262,266,272,1.0
Turkey,129,126,131,135,137,150,164,173,177,176,199,179,187,197,203,211,235,259,258,253,267,286,302,285,307,318,342,1.0
Ukraine,618,600,518,462,385,386,325,308,291,288,281,275,280,303,293,302,296,296,290,245,263,277,271,260,221,180,189,1.0
United Arab Emirates,53,60,57,60,66,70,73,77,79,82,81,94,95,100,106,112,116,125,147,148,152,160,171,174,176,189,195,1.0
United Kingdom,558,568,559,544,550,535,552,529,528,530,539,547,529,537,538,539,539,528,517,469,488,449,471,459,417,404,380,1.0
United States,4873,4811,4913,5044,5109,5116,5268,5400,5481,5518,5688,5608,5638,5699,5762,5778,5695,5783,5618,5243,5421,5261,5188,5247,5314,5182,5112,0.0
Uzbekistan,116,120,112,117,113,102,105,106,120,122,122,123,128,124,122,113,115,115,117,105,102,112,114,101,103,106,103,1.0
World,20302,20372,20382,20452,20601,21040,21523,21742,21870,22017,22672,22941,23448,24571,25594,26497,27345,28278,28474,28145,29677,30465,31004,31436,31593,31452,31465,
