,Unnamed: 0,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,0,Algeria,,,,,,,,,,,,35.62,34.44,33.39,34.84,37.79,37.33,39.84,42.75,45.68,46.3,48.08,51.73,54.57,50.05,46.7,50.0,47.9,50.6,50.68,45.13,44.0,43.79,44.6,45.7,46.75,46.87,49.5,48.29,48.1,47.44,47.92,47.38,45.19,43.27,42.08,42.4,40.01,40.03,38.83,37.92,38.87,39.87,38.43,38.83,,,
1,1,Argentina,,,,,,,,,,,,35.47,37.05,35.27,32.92,33.18,33.19,34.8,32.67,33.2,32.09,31.24,30.48,31.13,29.3,29.4,35.87,33.91,39.53,39.22,34.51,36.47,35.39,31.74,28.26,29.15,30.25,28.65,29.14,31.87,32.3,30.27,30.1,30.83,31.94,31.79,31.7,33.82,34.45,36.19,35.89,36.89,38.5,37.4,38.04,,,
2,2,Australia,33.87,34.28,35.69,35.58,36.27,36.89,38.65,38.57,38.09,37.94,38.59,37.76,39.96,38.5,44.55,45.43,46.1,47.65,46.53,46.52,48.86,50.41,51.87,52.11,51.78,52.74,52.36,53.33,53.75,54.83,55.0,55.67,55.74,55.46,55.25,55.41,56.1,56.14,58.8,59.06,58.85,59.92,62.7,60.87,61.32,62.1,62.51,62.68,62.06,63.32,62.92,61.55,60.9,59.38,58.36,,,
3,3,Belgium,32.39,31.42,30.25,29.25,31.44,29.2,30.15,29.49,27.69,26.89,25.0,27.26,28.1,29.11,32.33,28.6,31.0,31.3,30.91,31.81,33.81,34.63,33.51,32.27,30.77,26.8,25.14,26.3,27.61,28.41,29.8,28.99,28.72,29.15,29.89,29.71,28.31,27.65,28.44,26.51,27.38,25.54,27.4,27.2,26.95,27.99,28.32,29.39,26.72,26.16,27.51,27.86,27.66,25.41,25.85,,,
4,4,Brazil,,,,,,,,,,,,14.49,12.34,12.0,11.39,11.18,10.6,11.03,12.27,11.79,12.08,13.44,13.06,13.75,15.49,15.21,17.94,16.95,16.28,15.26,15.2,14.65,15.21,14.83,14.19,13.79,13.73,14.47,14.34,16.22,17.12,18.29,16.74,17.14,17.97,18.62,18.5,17.43,19.67,17.69,18.65,16.16,19.36,23.48,26.31,,,
5,5,Canada,13.13,14.13,15.99,17.26,17.99,19.22,19.74,20.55,22.05,22.2,22.21,23.4,22.91,22.87,21.5,23.22,23.29,24.68,25.06,24.49,25.34,25.59,28.07,29.75,31.03,30.57,29.93,31.61,32.91,33.46,32.9,33.59,34.23,32.47,32.38,32.82,32.11,33.7,36.23,35.82,36.62,38.2,37.64,38.05,36.49,37.73,37.66,38.74,39.63,39.55,39.87,38.82,39.31,39.35,38.73,,,
6,6,Chile,,,,,,,,,,,,30.0,27.23,26.55,26.29,27.24,28.17,27.58,27.5,30.5,29.81,29.12,27.48,27.3,28.55,27.17,24.78,24.34,27.5,32.4,36.05,29.51,24.28,23.13,27.1,27.2,32.42,31.89,37.18,40.23,34.05,31.38,33.22,35.35,39.13,38.26,37.48,41.8,43.36,42.0,40.03,43.12,47.86,46.88,43.02,,,
7,7,China,,,,,,,,,,,,17.37,17.69,18.47,17.99,18.57,18.54,18.47,21.8,23.3,26.2,25.94,25.59,25.38,25.3,27.55,28.19,29.19,30.39,33.13,34.94,36.32,38.47,40.13,41.88,41.07,46.32,45.69,46.99,49.4,51.04,51.23,52.62,53.76,50.29,50.23,51.58,51.33,50.16,50.37,51.57,52.39,52.53,53.16,52.25,,,
8,8,Colombia,,,,,,,,,,,,23.25,22.33,23.24,21.42,19.37,20.02,20.5,24.45,25.74,25.89,27.66,28.21,29.12,29.06,29.44,29.38,27.6,27.81,26.41,26.85,26.89,27.16,26.72,23.6,25.53,22.0,24.73,27.67,24.05,25.38,25.55,25.58,26.33,23.88,24.21,23.06,22.95,19.92,30.0,28.77,20.69,23.2,26.6,26.91,,,
9,9,France,25.58,26.49,26.78,23.65,27.22,24.23,23.45,24.19,22.46,22.84,24.27,25.89,25.36,27.2,27.62,27.49,31.33,29.75,28.58,30.12,30.12,27.19,28.38,25.49,22.3,20.16,16.95,15.87,16.68,19.59,18.43,20.03,17.68,15.07,15.08,16.27,16.69,16.02,19.03,17.69,19.05,17.07,17.91,18.45,18.23,19.84,19.26,20.34,19.71,19.54,20.32,18.32,17.43,16.99,13.8,,,
10,10,Germany,33.62,33.85,33.23,32.85,34.02,33.92,33.71,33.7,34.68,35.11,37.41,39.03,39.45,39.0,40.65,39.89,41.31,41.05,41.19,41.37,43.15,43.92,44.8,44.59,44.12,42.63,42.71,42.45,43.03,44.49,43.83,44.63,44.77,44.11,44.83,44.31,43.99,43.79,44.2,44.08,44.84,45.39,46.33,46.84,47.19,47.76,47.57,51.18,48.06,47.67,47.68,48.47,49.0,48.45,48.47,,,
11,11,India,,,,,,,,,,,,21.55,23.08,23.88,26.29,26.91,28.4,27.45,25.03,26.94,31.02,32.09,33.56,35.27,34.48,38.09,39.82,42.35,42.11,43.01,43.75,45.29,46.79,49.4,48.78,51.62,52.46,51.53,52.73,53.74,55.21,55.87,54.93,56.26,56.89,55.56,55.53,55.45,53.62,52.29,51.5,51.76,53.44,52.32,53.61,,,
12,12,Indonesia,,,,,,,,,,,,21.94,23.01,26.82,24.51,18.79,16.29,20.71,18.93,17.94,17.71,17.6,19.02,19.29,24.46,24.76,26.63,28.6,27.72,26.88,35.65,37.37,36.81,37.81,35.75,36.37,36.13,37.55,40.56,36.42,34.99,36.44,39.0,39.34,37.86,38.95,38.27,39.17,40.29,40.5,40.33,43.87,43.14,42.07,44.25,,,
13,13,Italy,15.78,20.04,21.87,19.43,23.47,23.29,24.5,26.31,26.25,27.01,25.46,26.18,26.38,28.17,29.45,29.19,31.0,30.72,31.91,32.05,33.89,34.5,34.88,34.64,33.49,33.52,34.34,35.31,35.31,36.06,36.84,35.79,35.83,35.24,36.32,37.41,36.52,36.8,36.79,35.29,36.36,35.51,37.2,36.94,39.19,38.94,40.01,40.65,40.47,38.41,39.06,39.57,39.28,36.33,35.56,,,
