,Unnamed: 0,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,0,World,11894,12173,12284,12573,12881,13327,13754,14045,14413,14822,15523,15641,16253,16847,17617,18374,19078,19901,20276,20198,21548,22246,22746,23422,23872,24107,24660
1,1,OECD,7712,7900,7975,8159,8389,8646,8889,9014,9244,9451,9840,9723,10005,10120,10368,10619,10690,10880,10889,10491,10958,10906,10894,10898,10847,10874,10901
2,2,G7,6089,6236,6277,6414,6578,6760,6944,6985,7142,7272,7528,7338,7574,7632,7785,7956,7974,8061,8028,7670,8008,7906,7846,7893,7845,7844,7817
3,3,BRICS,2386,2468,2510,2583,2637,2754,2863,2961,3026,3170,3363,3499,3722,4076,4451,4817,5309,5829,6077,6340,7001,7639,7998,8527,8874,8936,9356
4,4,Europe,2900,2937,2926,2931,2976,3071,3164,3199,3280,3327,3438,3504,3539,3621,3705,3763,3813,3857,3883,3708,3866,3810,3843,3814,3744,3802,3831
5,5,European Union,2595,2640,2624,2626,2667,2744,2846,2857,2923,2955,3036,3119,3144,3235,3303,3325,3371,3383,3387,3222,3366,3298,3298,3271,3191,3235,3242
6,6,Belgium,71,72,72,71,72,74,76,79,83,85,84,80,82,85,86,87,86,89,85,91,95,90,83,84,73,68,84
7,7,Czech Rep.,63,61,59,59,59,61,64,65,65,65,73,75,76,83,84,83,84,88,84,82,86,88,88,87,86,84,83
8,8,France,421,456,464,473,477,494,513,505,511,526,540,550,559,567,574,576,575,569,574,536,569,561,566,572,563,568,553
9,9,Germany,550,540,537,526,529,537,555,552,556,556,577,586,587,609,617,623,639,641,640,596,633,613,630,639,628,652,653
10,10,Italy,217,222,226,223,232,241,244,251,260,266,277,279,285,294,303,304,314,314,319,293,302,303,299,290,280,285,288
11,11,Netherlands,72,74,77,77,80,81,85,87,91,87,90,94,96,97,101,100,99,105,108,114,119,114,103,102,103,110,115
12,12,Poland,136,135,133,134,135,139,143,143,143,142,145,146,144,152,154,157,162,159,155,152,158,164,162,165,159,165,165
13,13,Portugal,29,30,30,31,31,33,35,34,39,43,44,47,46,47,45,47,49,47,46,50,54,52,47,52,53,52,61
14,14,Romania,64,57,54,55,55,59,61,57,53,51,52,54,55,55,56,59,63,62,65,58,61,62,59,59,66,68,68
15,15,Spain,152,156,159,157,162,167,174,190,195,208,224,236,245,261,280,294,299,305,314,295,302,294,298,286,279,280,275
16,16,Sweden,147,147,146,146,143,148,141,149,159,155,145,162,147,135,152,158,143,149,150,137,149,150,167,153,154,162,155
17,17,United Kingdom,320,323,321,323,326,334,351,351,363,368,377,385,387,398,394,398,397,397,389,377,382,367,364,359,339,340,339
18,18,Norway,122,111,118,120,113,123,105,112,117,123,143,122,131,107,111,138,122,137,142,132,124,128,148,134,142,145,150
19,19,Turkey,58,60,67,74,78,86,95,103,111,116,125,123,129,141,151,162,176,192,198,195,211,229,239,240,252,260,274
20,20,CIS,1676,1635,1529,1436,1309,1270,1237,1211,1193,1214,1250,1270,1274,1318,1346,1374,1433,1458,1483,1407,1482,1513,1542,1538,1542,1523,1553
21,21,Kazakhstan,87,86,83,77,66,67,59,52,49,47,51,57,58,64,67,68,72,77,80,79,83,87,93,103,105,101,104
22,22,Russia,1082,1068,1008,957,876,860,847,834,827,846,878,891,891,916,932,953,996,1015,1040,992,1038,1055,1071,1059,1064,1066,1088
