,Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,0,Office,Office (Code),Origin,Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Africa,R1,Total,24 - Environmental technology,97.0,101.0,115.0,124.0,87.0,90.0,134.0,110.0,107.0,108.0,63.0,78.0,96.0,126.0,101.0,72.0,102.0,83.0,135.0,92.0,141.0,91.0,174.0,143.0,130.0,33.0,14.0
2,2,African Intellectual Property Organization,OA,Total,24 - Environmental technology,2.0,3.0,1.0,6.0,3.0,1.0,4.0,1.0,,,,5.0,5.0,10.0,,4.0,16.0,1.0,,,,,,,,,
3,3,African Regional Intellectual Property Organization,AP,Total,24 - Environmental technology,1.0,2.0,,,2.0,2.0,3.0,,1.0,1.0,,5.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,6.0,11.0,10.0,11.0,10.0
4,4,Argentina,AR,Total,24 - Environmental technology,6.0,6.0,5.0,49.0,25.0,18.0,,,,,,,,,,,,,,,,,,,,,
5,5,Asia,R2,Total,24 - Environmental technology,1003.0,1131.0,1308.0,1456.0,1834.0,1883.0,1521.0,1815.0,2219.0,3185.0,2644.0,2532.0,3073.0,3766.0,4274.0,5155.0,5937.0,6521.0,5834.0,6207.0,6753.0,8799.0,10474.0,11179.0,10897.0,12064.0,13980.0
6,6,Australia,AU,Total,24 - Environmental technology,159.0,189.0,183.0,164.0,170.0,167.0,136.0,136.0,195.0,178.0,171.0,201.0,165.0,134.0,145.0,101.0,86.0,99.0,149.0,165.0,251.0,293.0,284.0,258.0,285.0,362.0,409.0
7,7,Austria,AT,Total,24 - Environmental technology,63.0,84.0,51.0,62.0,49.0,45.0,62.0,43.0,39.0,33.0,37.0,32.0,45.0,33.0,24.0,24.0,27.0,21.0,46.0,29.0,31.0,20.0,26.0,29.0,22.0,19.0,23.0
8,8,Bosnia and Herzegovina,BA,Total,24 - Environmental technology,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
9,9,Brazil,BR,Total,24 - Environmental technology,,,,,,,,,,,3.0,,3.0,1.0,5.0,3.0,4.0,1.0,10.0,44.0,65.0,72.0,55.0,50.0,39.0,49.0,66.0
10,10,Bulgaria,BG,Total,24 - Environmental technology,36.0,25.0,25.0,22.0,3.0,3.0,11.0,10.0,6.0,6.0,11.0,7.0,12.0,7.0,5.0,7.0,6.0,8.0,3.0,3.0,7.0,3.0,2.0,4.0,3.0,2.0,1.0
11,11,Canada,CA,Total,24 - Environmental technology,187.0,186.0,297.0,245.0,183.0,130.0,91.0,85.0,141.0,245.0,206.0,174.0,205.0,145.0,195.0,254.0,212.0,279.0,271.0,302.0,280.0,285.0,335.0,394.0,354.0,373.0,458.0
